"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"42127-15755","PF","Anthony","Anthony Davis","Davis","53.58620689655172","29","10800","LAL@POR","LAL","POR","GTD","Knee","","",""
"42127-9488","SF","LeBron","LeBron James","James","52.11333414713542","30","9800","LAL@POR","LAL","POR","GTD","Ribs","","",""
"42127-14513","PF","Kawhi","Kawhi Leonard","Leonard","46.80833435058594","24","9500","UTA@LAC","LAC","UTA","","","","",""
"42127-20848","PG","Damian","Damian Lillard","Lillard","44.36666666666667","30","8900","LAL@POR","POR","LAL","","","","",""
"42127-40203","C","Rudy","Rudy Gobert","Gobert","40.16551892510776","29","8700","UTA@LAC","UTA","LAC","","","","",""
"42127-12363","C","Hassan","Hassan Whiteside","Whiteside","40.54482926993534","29","8600","LAL@POR","POR","LAL","","","","",""
"42127-66113","SG","Donovan","Donovan Mitchell","Mitchell","38.60322423135081","31","7800","UTA@LAC","UTA","LAC","","","","",""
"42127-12341","SF","Paul","Paul George","George","38.74545565518466","22","7600","UTA@LAC","LAC","UTA","","","","",""
"42127-19067","SG","CJ","CJ McCollum","McCollum","35.98125076293945","32","7100","LAL@POR","POR","LAL","","","","",""
"42127-9508","SF","Carmelo","Carmelo Anthony","Anthony","29.54705810546875","17","5700","LAL@POR","POR","LAL","","","","",""
"42127-14530","SF","Bojan","Bojan Bogdanovic","Bogdanovic","28.99333292643229","30","5700","UTA@LAC","UTA","LAC","","","","",""
"42127-59318","SF","Joe","Joe Ingles","Ingles","22.845161684097782","31","5500","UTA@LAC","UTA","LAC","","","","",""
"42127-23776","C","Montrezl","Montrezl Harrell","Harrell","34.46060458096591","33","5300","UTA@LAC","LAC","UTA","","","","",""
"42127-9662","SG","Lou","Lou Williams","Williams","31.158065303679436","31","4900","UTA@LAC","LAC","UTA","","","","",""
"42127-58377","PF","Kyle","Kyle Kuzma","Kuzma","17.98636419122869","22","4700","LAL@POR","LAL","POR","GTD","Ankle","","",""
"42127-12474","PG","Patrick","Patrick Beverley","Beverley","25.196428571428573","28","4700","UTA@LAC","LAC","UTA","","","","",""
"42127-20640","SG","Jordan","Jordan Clarkson","Clarkson","21.926666259765625","30","4600","UTA@LAC","UTA","LAC","","","","",""
"42127-9575","PG","Mike","Mike Conley","Conley","25.209089799360797","22","4600","UTA@LAC","UTA","LAC","O","Hamstring","","",""
"42127-19781","SF","Kent","Kent Bazemore","Bazemore","18.4375","32","4200","LAL@POR","POR","LAL","","","","",""
"42127-9455","PG","Rajon","Rajon Rondo","Rondo","22.173683568050986","19","4200","LAL@POR","LAL","POR","","","","",""
"42127-9739","C","JaVale","JaVale McGee","McGee","20.20967741935484","31","4100","LAL@POR","LAL","POR","","","","",""
"42127-15636","SG","Kentavious","Kentavious Caldwell-Pope","Caldwell-Pope","16.3999998031124","31","4000","LAL@POR","LAL","POR","","","","",""
"42127-18338","PF","Royce","Royce O'Neale","O'Neale","18.70967741935484","31","4000","UTA@LAC","UTA","LAC","","","","",""
"42127-70827","C","Ivica","Ivica Zubac","Zubac","19.830303770123106","33","4000","UTA@LAC","LAC","UTA","","","","",""
"42127-9660","C","Dwight","Dwight Howard","Howard","19.925806845388106","31","4000","LAL@POR","LAL","POR","","","","",""
"42127-66109","PF","Skal","Skal Labissiere","Labissiere","16.831249237060547","32","4000","LAL@POR","POR","LAL","","","","",""
"42127-63124","PG","Emmanuel","Emmanuel Mudiay","Mudiay","14.017857142857142","28","3900","UTA@LAC","UTA","LAC","","","","",""
"42127-9758","SG","Danny","Danny Green","Green","18.851613690776208","31","3900","LAL@POR","LAL","POR","","","","",""
"42127-16178","SF","Maurice","Maurice Harkless","Harkless","16.093938654119317","33","3800","UTA@LAC","LAC","UTA","","","","",""
"42127-23981","PG","Alex","Alex Caruso","Caruso","13.61034524851832","29","3700","LAL@POR","LAL","POR","","","","",""
"42127-84724","PG","Landry","Landry Shamet","Shamet","14.612500190734863","16","3700","UTA@LAC","LAC","UTA","","","","",""
"42127-15744","SG","Rodney","Rodney McGruder","McGruder","9.895238240559896","21","3600","UTA@LAC","LAC","UTA","","","","",""
"42127-110337","SG","Talen","Talen Horton-Tucker","Horton-Tucker","3","2","3500","LAL@POR","LAL","POR","","","","",""
"42127-111492","PF","Amir","Amir Coffey","Coffey","0","0","3500","UTA@LAC","LAC","UTA","","","","",""
"42127-111620","PG","Nigel","Nigel Williams-Goss","Williams-Goss","1.3428570883614677","7","3500","UTA@LAC","UTA","LAC","","","","",""
"42127-110343","SF","Nassir","Nassir Little","Little","10.447618756975446","21","3500","LAL@POR","POR","LAL","","","","",""
"42127-110355","SF","Mfiondu","Mfiondu Kabengele","Kabengele","4.509999847412109","10","3500","UTA@LAC","LAC","UTA","","","","",""
"42127-63123","SF","Mario","Mario Hezonja","Hezonja","11.664000244140626","25","3500","LAL@POR","POR","LAL","GTD","Back","","",""
"42127-15904","SF","Rodney","Rodney Hood","Hood","19.447618756975448","21","3500","LAL@POR","POR","LAL","O","Achilles","","",""
"42127-117286","C","Moses","Moses Brown","Brown","5.199999809265137","4","3500","LAL@POR","POR","LAL","","","","",""
"42127-117289","PF","Juwan","Juwan Morgan","Morgan","0.4666666587193807","3","3500","UTA@LAC","UTA","LAC","","","","",""
"42127-15405","PF","JaMychal","JaMychal Green","Green","17.616666158040363","24","3500","UTA@LAC","LAC","UTA","","","","",""
"42127-12334","SG","Avery","Avery Bradley","Bradley","14.570588055778952","17","3500","LAL@POR","LAL","POR","","","","",""
"42127-80815","PF","Zach","Zach Collins","Collins","16.8000005086263","3","3500","LAL@POR","POR","LAL","O","Shoulder","","",""
"42127-12340","PF","Patrick","Patrick Patterson","Patterson","10.973333740234375","30","3500","UTA@LAC","LAC","UTA","","","","",""
"42127-117301","PF","Devontae","Devontae Cacok","Cacok","0","0","3500","LAL@POR","LAL","POR","","","","",""
"42127-80823","C","Tony","Tony Bradley","Bradley","9.225","20","3500","UTA@LAC","UTA","LAC","","","","",""
"42127-9920","PF","Anthony","Anthony Tolliver","Tolliver","8.913636641068893","22","3500","LAL@POR","POR","LAL","","","","",""
"42127-84677","PG","Jerome","Jerome Robinson","Robinson","7.907999877929687","25","3500","UTA@LAC","LAC","UTA","","","","",""
"42127-20805","SG","Troy","Troy Daniels","Daniels","7.33043504797894","23","3500","LAL@POR","LAL","POR","","","","",""
"42127-12362","C","DeMarcus","DeMarcus Cousins","Cousins","37.49666748046875","30","3500","LAL@POR","LAL","POR","O","Knee","","",""
"42127-9677","SF","Jared","Jared Dudley","Dudley","4.79047611781529","21","3500","LAL@POR","LAL","POR","","","","",""
