date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id,3PM_pts,AST_pts,BLK_pts,FGM_pts,FTM_pts,REB_pts,STL_pts,TOV_pts,total_pts
2019-12-25,"Dec 25, 2019 - BOS @ TOR",W,35,11,5,18,27.8,1,3,33.3,0,0,0.0,4,5,9,6,2,0,3,4,21, BOS @ TOR,1628369,1.0,9.0,0.0,10.0,0.0,10.799999999999999,6.0,-3.0,33.8
2019-12-22,"Dec 22, 2019 - BOS vs. CHA",W,36,39,15,29,51.7,4,9,44.4,5,5,100.0,1,11,12,2,1,3,2,1,10, BOS vs. CHA,1628369,4.0,3.0,9.0,30.0,5.0,14.399999999999999,3.0,-2.0,66.4
2019-12-20,"Dec 20, 2019 - BOS vs. DET",W,27,26,10,17,58.8,2,7,28.6,4,4,100.0,0,5,5,3,2,0,0,1,10, BOS vs. DET,1628369,2.0,4.5,0.0,20.0,4.0,6.0,6.0,-0.0,42.5
2019-12-18,"Dec 18, 2019 - BOS @ DAL",W,37,24,10,23,43.5,2,10,20.0,2,3,66.7,2,6,8,1,0,1,3,3,-2, BOS @ DAL,1628369,2.0,1.5,3.0,20.0,2.0,9.6,0.0,-3.0,35.1
2019-12-12,"Dec 12, 2019 - BOS vs. PHI",L,34,15,5,18,27.8,3,8,37.5,2,2,100.0,1,2,3,4,0,1,1,4,-2, BOS vs. PHI,1628369,3.0,6.0,3.0,10.0,2.0,3.5999999999999996,0.0,-1.0,26.6
2019-12-11,"Dec 11, 2019 - BOS @ IND",L,37,16,4,13,30.8,2,8,25.0,6,6,100.0,0,6,6,3,2,0,3,2,-8, BOS @ IND,1628369,2.0,4.5,0.0,8.0,6.0,7.199999999999999,6.0,-3.0,30.700000000000003
2019-12-09,"Dec 09, 2019 - BOS vs. CLE",W,30,19,7,14,50.0,4,6,66.7,1,2,50.0,0,11,11,2,2,2,4,1,24, BOS vs. CLE,1628369,4.0,3.0,6.0,14.0,1.0,13.2,6.0,-4.0,43.2
2019-12-06,"Dec 06, 2019 - BOS vs. DEN",W,30,26,10,19,52.6,4,8,50.0,2,2,100.0,0,7,7,5,1,0,1,1,14, BOS vs. DEN,1628369,4.0,7.5,0.0,20.0,2.0,8.4,3.0,-1.0,43.9
2019-12-04,"Dec 04, 2019 - BOS vs. MIA",W,34,19,6,19,31.6,2,12,16.7,5,6,83.3,1,4,5,3,1,3,3,2,31, BOS vs. MIA,1628369,2.0,4.5,9.0,12.0,5.0,6.0,3.0,-3.0,38.5
2019-12-01,"Dec 01, 2019 - BOS @ NYK",W,37,30,10,23,43.5,5,11,45.5,5,6,83.3,0,6,6,7,2,2,1,4,11, BOS @ NYK,1628369,5.0,10.5,6.0,20.0,5.0,7.199999999999999,6.0,-1.0,58.7
2019-11-29,"Nov 29, 2019 - BOS @ BKN",L,37,26,10,19,52.6,4,8,50.0,2,2,100.0,1,8,9,0,4,0,6,0,13, BOS @ BKN,1628369,4.0,0.0,0.0,20.0,2.0,10.799999999999999,12.0,-6.0,42.8
2019-11-27,"Nov 27, 2019 - BOS vs. BKN",W,35,16,5,17,29.4,0,4,0.0,6,6,100.0,3,6,9,5,1,0,3,2,11, BOS vs. BKN,1628369,0.0,7.5,0.0,10.0,6.0,10.799999999999999,3.0,-3.0,34.3
2019-11-25,"Nov 25, 2019 - BOS vs. SAC",W,34,20,7,18,38.9,0,3,0.0,6,7,85.7,1,5,6,3,0,0,3,4,4, BOS vs. SAC,1628369,0.0,4.5,0.0,14.0,6.0,7.199999999999999,0.0,-3.0,28.7
2019-11-22,"Nov 22, 2019 - BOS @ DEN",L,32,16,6,16,37.5,0,5,0.0,4,5,80.0,0,2,2,3,0,1,0,1,-23, BOS @ DEN,1628369,0.0,4.5,3.0,12.0,4.0,2.4,0.0,-0.0,25.9
2019-11-20,"Nov 20, 2019 - BOS @ LAC",L,41,30,12,24,50.0,5,10,50.0,1,2,50.0,0,6,6,3,2,2,3,4,-6, BOS @ LAC,1628369,5.0,4.5,6.0,24.0,1.0,7.199999999999999,6.0,-3.0,50.7
