date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-25,"Dec 25, 2019 - LAL vs. LAC",L,29,13,5,8,62.5,2,3,66.7,1,2,50.0,1,1,2,2,1,1,0,1,6, LAL vs. LAC,203484
2019-12-22,"Dec 22, 2019 - LAL vs. DEN",L,25,6,2,4,50.0,2,3,66.7,0,0,0.0,0,3,3,2,1,0,2,3,-12, LAL vs. DEN,203484
2019-12-19,"Dec 19, 2019 - LAL @ MIL",L,34,18,7,12,58.3,2,6,33.3,2,2,100.0,0,1,1,3,1,0,1,2,6, LAL @ MIL,203484
2019-12-17,"Dec 17, 2019 - LAL @ IND",L,28,10,4,10,40.0,1,3,33.3,1,1,100.0,2,2,4,1,1,0,0,3,-7, LAL @ IND,203484
2019-12-15,"Dec 15, 2019 - LAL @ ATL",W,27,11,4,11,36.4,0,2,0.0,3,5,60.0,2,1,3,2,1,0,1,1,0, LAL @ ATL,203484
2019-12-13,"Dec 13, 2019 - LAL @ MIA",W,30,15,6,9,66.7,1,3,33.3,2,4,50.0,3,0,3,4,0,0,2,2,5, LAL @ MIA,203484
2019-12-11,"Dec 11, 2019 - LAL @ ORL",W,31,15,5,10,50.0,4,7,57.1,1,1,100.0,0,0,0,0,3,0,2,2,-3, LAL @ ORL,203484
2019-12-08,"Dec 08, 2019 - LAL vs. MIN",W,28,9,3,7,42.9,1,4,25.0,2,2,100.0,0,2,2,5,0,0,1,1,13, LAL vs. MIN,203484
2019-12-06,"Dec 06, 2019 - LAL @ POR",W,27,5,1,3,33.3,1,3,33.3,2,2,100.0,0,0,0,5,1,0,0,1,8, LAL @ POR,203484
2019-12-04,"Dec 04, 2019 - LAL @ UTA",W,25,14,5,8,62.5,2,4,50.0,2,2,100.0,1,0,1,0,0,1,0,2,14, LAL @ UTA,203484
2019-12-03,"Dec 03, 2019 - LAL @ DEN",W,32,4,2,5,40.0,0,3,0.0,0,0,0.0,1,2,3,3,3,0,3,0,3, LAL @ DEN,203484
2019-12-01,"Dec 01, 2019 - LAL vs. DAL",L,24,7,3,7,42.9,1,2,50.0,0,0,0.0,0,3,3,2,1,0,1,3,-11, LAL vs. DAL,203484
2019-11-29,"Nov 29, 2019 - LAL vs. WAS",W,29,4,2,6,33.3,0,2,0.0,0,0,0.0,0,3,3,3,0,0,0,3,23, LAL vs. WAS,203484
2019-11-27,"Nov 27, 2019 - LAL @ NOP",W,29,5,2,8,25.0,1,5,20.0,0,0,0.0,0,1,1,2,0,1,0,2,-11, LAL @ NOP,203484
2019-11-25,"Nov 25, 2019 - LAL @ SAS",W,28,14,5,7,71.4,3,5,60.0,1,2,50.0,0,1,1,1,2,1,2,1,-2, LAL @ SAS,203484
2019-11-23,"Nov 23, 2019 - LAL @ MEM",W,29,12,3,6,50.0,3,5,60.0,3,4,75.0,1,1,2,1,1,0,1,3,2, LAL @ MEM,203484
2019-11-22,"Nov 22, 2019 - LAL @ OKC",W,32,17,5,9,55.6,4,5,80.0,3,3,100.0,1,4,5,2,1,0,1,3,6, LAL @ OKC,203484
2019-11-19,"Nov 19, 2019 - LAL vs. OKC",W,33,13,5,9,55.6,3,4,75.0,0,0,0.0,2,2,4,2,0,0,0,1,6, LAL vs. OKC,203484
2019-11-17,"Nov 17, 2019 - LAL vs. ATL",W,21,13,6,8,75.0,0,2,0.0,1,1,100.0,0,1,1,1,1,0,3,0,12, LAL vs. ATL,203484
2019-11-15,"Nov 15, 2019 - LAL vs. SAC",W,25,16,6,10,60.0,3,5,60.0,1,1,100.0,1,2,3,0,1,0,1,2,-7, LAL vs. SAC,203484
2019-11-13,"Nov 13, 2019 - LAL vs. GSW",W,19,6,3,9,33.3,0,1,0.0,0,0,0.0,1,2,3,1,1,0,0,1,14, LAL vs. GSW,203484
2019-11-12,"Nov 12, 2019 - LAL @ PHX",W,8,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2, LAL @ PHX,203484
